,importance
shares,8.631311533651514e-05
gross_margin,0.0001124202842867121
pe,0.00011547702775702245
inv_pe,0.00011723124221199199
log_mcap,0.00012120874852430573
roa,0.00012151232896588204
ps,0.00013188620496235604
inv_ps,0.00015016449959145967
oper_margin,0.0001542568754754625
is_excluded,0.0002063510944430144
regime_steep,0.0009321819903101543
regime_low_vol,0.0018107804710503761
regime_flat,0.002000219613249291
regime_high_vol,0.002478949389187168
high,0.005192904769950515
open,0.005205873394658637
close,0.0052717158498876895
low,0.005293226059294605
rank_vol_z20_pct,0.005338180076636362
adj_close,0.006057361732349429
prev_close,0.006106582880982933
volume,0.006257273248350334
rank_dollar_vol_pct,0.007834520673233742
vol_z20,0.008127570261198943
rank_vol_20_pct,0.008658299338730528
dollar_vol,0.00868669098188573
hl_range,0.009424423100128358
rank_idio_vol_60_pct,0.009480743011761732
rank_mom_20_pct,0.009551612718801304
rank_mom_5_pct,0.009678998758083661
vol_20,0.01069394183065613
idio_vol_60,0.010853218102210268
high_low_range20,0.010867767885596596
log_ret,0.01231348586399396
ret_1,0.0123328370577924
mom_20,0.012508244236083087
mom_5,0.012613116429896674
gap,0.015669322861516212
beta_rolling,0.019868674235352303
breadth_up,0.020690890314894714
US10Y_x,0.02860026878534195
breadth_up_5,0.03043627669819189
TERM_SPREAD_x,0.030598440728221973
US2Y_x,0.03092549985559069
US10Y_y,0.031642283558827804
US2Y_y,0.032219424084271545
TERM_SPREAD_y,0.03226378703926402
breadth_up_20,0.032574360953593035
US2Y_chg_5d,0.03663961011001757
VIX_y,0.03706658862100554
VIX_x,0.03786344485150109
mkt_rvol,0.038047466619218276
US2Y_chg_1d,0.038786717775058634
US10Y_chg_5d,0.04170097343720833
TERM_SPREAD_chg_5d,0.04188192736170915
TERM_SPREAD_chg_1d,0.04197473464384877
VIX_chg_5d,0.042062299489891035
VIX_chg_1d,0.04223533530193628
US10Y_chg_1d,0.044246950325918286
mkt_log_ret,0.045117181200105674
